326318631011106816	positive	könnt ihr mir für acht Leute einen Tisch auf den Namen René für morgen reservieren? %PosSmiley	können ihr ich für acht Leute eine Tisch auf die Name René für morgen reservieren? %PosSmiley	VMFIN PPER PRF APPR CARD NN ART NN APPR ART NN NN APPR ADV ADJA ITJ	0/-- 15/DA 15/DA 15/MO 6/NK 4/NK 8/NK 15/OA 8/MNR 11/NK 9/NK 11/NK 15/MO 13/NK 1/SB 1/DM	pers=3|num=sg|tense=pres|mood=ind case=dat|gender=fem|num=sg|pers=3 case=dat|*=True|num=sg|pers=1 _ _ case=acc|*=True|num=pl case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg case=nom|gender=masc|num=sg _ _ case=acc|gender=neut|num=pl|pos=True EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|EmoExpression::markable_1::Uncertain=false|EmoExpression::markable_1::Polarity=positive|EmoExpression::markable_1::Sarcasm=false|EmoExpression::markable_1::Intensity=medium
324765840627085313	positive	"Ang cute nung KathQuen mag Gwiyomi. Nakita niyo? Hahaha. %PosSmiley %User"	"Ang cute nung KathQuen mögen Gwiyomi. Nakita niyo? Hahaha. %PosSmiley %User"	NN ADJA NN NN VMFIN NE NE VVFIN NE ITJ ADJA	5/SB 3/NK 1/MNR 3/NK 0/-- 5/SB 8/SB 0/-- 0/-- 11/NK 0/--	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg case=nom|gender=masc|Source::markable_3::Source=True|num=sg|Sentiment::markable_2::Polarity=positive|Sentiment::markable_2::Intensity=medium|Sentiment::markable_2::Sarcasm=false|Source::markable_3::Anaphref=empty|Sentiment::markable_2::Sentiment=True mood=ind|EmoExpression::markable_4::Uncertain=false|EmoExpression::markable_4::EmoExpression=True|EmoExpression::markable_4::SubjectiveFact=false|EmoExpression::markable_4::Polarity=positive|pers=3|num=sg|tense=pres|EmoExpression::markable_4::Sarcasm=false|EmoExpression::markable_4::Intensity=medium|Sentiment::markable_2::Sentiment=True case=nom|gender=masc|num=sg case=nom|*=True|num=sg pers=3|num=sg|tense=past|mood=ind case=nom|EmoExpression::markable_6::SubjectiveFact=false|*=True|EmoExpression::markable_6::Sarcasm=false|num=sg|EmoExpression::markable_6::Uncertain=false|EmoExpression::markable_6::Intensity=medium|EmoExpression::markable_6::EmoExpression=True|EmoExpression::markable_6::Polarity=positive _ _
321883681067261952	positive	Kennt ihr schon unsere Ecoline? %PosSmiley %Link	kennen ihr schon unser Ecoline? %PosSmiley %Link	VVFIN PPER ADV PPOSAT NN ITJ XY	0/-- 1/DA 1/MO 5/NK 1/OA 5/NK 0/--	pers=3|num=sg|tense=pres|mood=ind case=dat|gender=fem|num=sg|pers=3 _ case=acc|gender=fem|num=sg case=acc|EmoExpression::markable_7::EmoExpression=True|EmoExpression::markable_7::Uncertain=false|EmoExpression::markable_7::Intensity=medium|EmoExpression::markable_7::SubjectiveFact=false|gender=fem|EmoExpression::markable_7::Sarcasm=false|EmoExpression::markable_7::Polarity=positive|num=sg _ _
319398011358834689	positive	Toffe Eindhovense band zoekt bassist! Wie o wie? %PosSmiley %Link	Toffe Eindhovense binden zoekt bassist! wie o wie? %PosSmiley %Link	NN NN VVFIN ADJD ADJD KOKOM ADJA ADJA ITJ XY	3/SB 1/NK 0/-- 3/MO 3/MO 7/MO 8/MO 0/-- 8/NK 0/--	case=nom|gender=masc|num=pl case=nom|gender=masc|num=pl pers=3|num=sg|tense=past|mood=ind pos=True pos=True _ _ _ EmoExpression::markable_8::SubjectiveFact=false|EmoExpression::markable_8::Intensity=medium|EmoExpression::markable_8::Polarity=positive|EmoExpression::markable_8::Sarcasm=false|EmoExpression::markable_8::EmoExpression=True|EmoExpression::markable_8::Uncertain=false _
328628694597922818	positive	Nur noch 2Tage... Der Countdown läuft %PosSmiley %Link	nur noch 2Tage... die Countdown laufen %PosSmiley %Link	ADV ADV NE ART NN VVFIN ITJ XY	3/MO 3/MO 0/-- 5/NK 6/SB 0/-- 6/DM 7/NK	_ _ case=nom|*=True|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind EmoExpression::markable_9::Uncertain=false|EmoExpression::markable_9::Polarity=positive|EmoExpression::markable_9::Sarcasm=false|EmoExpression::markable_9::Intensity=medium|EmoExpression::markable_9::SubjectiveFact=false|EmoExpression::markable_9::EmoExpression=True _
319416853170638848	positive	mein innerer Monk bricht beim Ausbügeln durch %PosSmiley	mein inner Monk brechen bei ausbügeln durch %PosSmiley	PPOSAT ADJA NN VVFIN APPRART VVFIN PTKVZ ITJ	3/NK 3/NK 4/SB 0/-- 4/MO 5/NK 4/SVP 7/NK	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg _ EmoExpression::markable_10::Uncertain=false|EmoExpression::markable_10::Polarity=positive|EmoExpression::markable_10::Sarcasm=false|EmoExpression::markable_10::Intensity=medium|EmoExpression::markable_10::EmoExpression=True|EmoExpression::markable_10::SubjectiveFact=false
325885833628499971	positive	Morjen und bis gleich im Oly %PosSmiley &gt;&gt;&gt; Moin %PosSmiley Spieltag HAHOHE HERTHA BSC	Morjen und bis gleich in Oly %PosSmiley &gt;&gt;&gt; Moin %PosSmiley Spieltag HAHOHE Hertha BSC	NN KON APPR ADJD APPRART NN ITJ ADJA NE ITJ NN NN NE NE	0/-- 1/CD 2/CJ 8/MO 8/MO 5/NK 6/NK 11/NK 11/PNC 11/NK 3/NK 1/NK 14/PNC 12/NK	case=nom|gender=fem|num=pl _ _ _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ case=gen|gender=fem|num=sg|pos=True case=gen|gender=fem|num=sg EmoExpression::markable_12::Intensity=medium|EmoExpression::markable_12::Polarity=positive|EmoExpression::markable_12::Uncertain=false|EmoExpression::markable_12::Sarcasm=false|EmoExpression::markable_12::SubjectiveFact=false|EmoExpression::markable_12::EmoExpression=True case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg
322329770752876545	negative	Kaum ist man aus der Pubertät raus, schon fängt der Lack an abzublättern. %NegSmiley	kaum sein man aus die Pubertät raus, schon fangen die Lack an abzublättern. %NegSmiley	ADV VAFIN PIS APPR ART NN NE ADV VVFIN ART NN APZR VVIZU ITJ	13/MO 0/-- 2/SB 13/MO 6/NK 4/NK 6/NK 9/MO 6/PAR 11/NK 9/SB 4/AC 2/OC 0/NK	EmoExpression::markable_100500183::EmoExpression=True|EmoExpression::markable_100500183::Uncertain=false|EmoExpression::markable_100500183::Sarcasm=false|EmoExpression::markable_100500183::Intensity=medium|EmoExpression::markable_100500183::SubjectiveFact=false|EmoExpression::markable_100500183::Polarity=negative pers=3|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg case=nom|*=True|num=sg EmoExpression::markable_100500183::EmoExpression=True Sentiment::markable_13::Sarcasm=false|mood=ind|pers=3|Target::markable_15::Preferred=true|num=sg|tense=pres|Target::markable_15::Anaphref=empty|Sentiment::markable_13::Polarity=negative|Sentiment::markable_13::Sentiment=True|Target::markable_15::Target=True|Sentiment::markable_13::Intensity=medium case=nom|gender=masc|num=sg|Target::markable_15::Target=True|Sentiment::markable_13::Sentiment=True case=nom|gender=masc|num=sg|Target::markable_15::Target=True|Sentiment::markable_13::Sentiment=True Target::markable_15::Target=True|Sentiment::markable_13::Sentiment=True Sentiment::markable_13::Sentiment=True EmoExpression::markable_14::Polarity=negative|EmoExpression::markable_14::Sarcasm=false|EmoExpression::markable_14::SubjectiveFact=false|EmoExpression::markable_14::Uncertain=false|Sentiment::markable_13::Sentiment=True|EmoExpression::markable_14::Intensity=medium|EmoExpression::markable_14::EmoExpression=True
320200652724776960	negative	ich weiss %NegSmiley und es git vlt gar kei zweiti staffle	ich weiß %NegSmiley und es git vlt gar Kei zweiti staffle	PPER PTKVZ ITJ KON PPER ADJA NN ADV NE ADJA NN	10/SB 4/CJ 2/NK 1/CD 8/OA 7/NK 8/OG 9/MO 4/CJ 0/-- 10/OA	case=nom|*=True|num=sg|pers=1 _ EmoExpression::markable_16::Polarity=negative|EmoExpression::markable_16::Sarcasm=false|EmoExpression::markable_16::EmoExpression=True|EmoExpression::markable_16::SubjectiveFact=false|EmoExpression::markable_16::Uncertain=false|EmoExpression::markable_16::Intensity=medium _ case=nom|gender=neut|num=sg|pers=3 case=acc|gender=fem|num=sg|pers=3 _ _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg|pos=True case=acc|gender=masc|num=sg
326211084811898880	neutral	Unterwegs nach Prag zu einer Weiterbildung %PosSmiley (Eingecheckt bei Zürich Airport)	Unterweg nach Prag zu eine Weiterbildung %PosSmiley (Eingecheckt bei Zürich Airport)	NN APPR NE APPR ART NN ITJ NN APPR NE NE	0/-- 1/MNR 2/NK 1/MNR 6/NK 4/NK 8/NK 1/CJ 8/MNR 11/PNC 9/NK	case=gen|*=True|num=sg _ case=dat|gender=neut|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg case=dat|*=True|num=sg case=acc|*=True _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg
322431063643283457	mixed	aber das wird doch abgelu... ach lassen wir das %PosSmiley	aber die werden doch abgelu... ach lassen wir die %PosSmiley	KON PDS VAFIN ADV ADJA ITJ VVFIN PPER PDS ITJ	3/JU 3/SB 0/-- 5/MO 3/OC 7/DM 0/-- 7/SB 7/OA 9/NK	_ case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ EmoExpression::markable_100500184::Intensity=medium|EmoExpression::markable_100500184::SubjectiveFact=false|EmoExpression::markable_100500184::EmoExpression=True|EmoExpression::markable_100500184::Polarity=negative|EmoExpression::markable_100500184::Sarcasm=false|EmoExpression::markable_100500184::Uncertain=false pers=1|num=pl|tense=pres|mood=ind|EmoExpression::markable_100500184::EmoExpression=True case=nom|*=True|num=pl|EmoExpression::markable_100500184::EmoExpression=True|pers=1 case=acc|gender=neut|num=sg|EmoExpression::markable_100500184::EmoExpression=True case=acc|EmoExpression::markable_18::EmoExpression=True|gender=neut|EmoExpression::markable_18::Intensity=medium|num=sg|EmoExpression::markable_18::SubjectiveFact=false|EmoExpression::markable_18::Uncertain=false|EmoExpression::markable_18::Polarity=positive|EmoExpression::markable_18::Sarcasm=false
